Date;Abf. Stoffe [mg/l];Al filt. [µg/l];NH3-N [µg/l];NH4-N [mg/l];BSB5 (EN1899, ohne ATH) [mg/l];Ca filt. [mg/l];Chlorid [mg/l];Fe filt. [mg/l];LF (20 °C) vor Ort [µS/cm];DOC [mg/l];K filt. [mg/l];Mg filt. [mg/l];Mn filt. [mg/l];Na filt. [mg/l];NO3 [mg/l];NO3-N [mg/l];NO2-N [mg/l];pH-Wert (vor Ort) [-];o-PO4-P [mg/l];P-ges. [mg/l];P-ges. filt. [mg/l];O2-gelöst [mg/l];SO4 [mg/l];KS 4,3 [mmol/l];TOC [mg/l];Wassertemp.(vor Ort) [°C]
1985-05-15;164.5;;;0.08;0.95;;4.0;;181.5;;;;;;;0.5;;7.45;0.018;0.056;;10.5;11.0;;5.5;6.3
1985-06-15;91.0;;;0.095;3.4;;5.0;;202.5;;;;;;;0.355;;7.35;0.036;0.106;;10.65;19.5;;1.75;9.6
1985-07-15;76.633;;;0.123;1.6;;6.0;;224.667;;;;;;;0.693;;7.6;0.067;0.146;;8.9;18.667;;2.8;11.433
1985-08-15;37.75;;;0.055;1.0;;6.0;;202.5;;;;;;;0.665;;7.25;0.03;0.064;;9.65;13.0;;1.35;12.3
1985-09-15;64.2;;;0.06;0.6;;12.5;;252.0;;;;;;;0.755;;7.0;0.066;0.093;;9.75;25.5;;1.05;11.3
1985-10-15;41.05;;;0.135;0.9;;14.0;;292.0;;;;;;;1.095;;6.9;0.098;0.16;;12.1;32.5;;1.75;9.0
1985-11-15;32.25;;;0.655;1.45;;14.5;;341.5;;;;;;;0.845;;7.2;0.165;0.214;;10.25;30.0;;2.95;5.25
1985-12-15;29.35;;;0.22;1.8;;8.0;;289.5;;;;;;;0.68;;7.8;0.078;0.102;;11.2;22.5;;1.9;4.65
1986-01-15;68.867;;;0.177;1.2;;11.667;;246.667;;;;;;;1.053;;7.4;0.078;0.12;;13.167;21.667;;3.733;1.7
1986-02-15;31.45;;;0.675;1.1;;18.5;;326.5;;;;;;;0.865;;7.3;0.144;0.188;;10.65;34.0;;1.8;0.3
1986-03-15;8.3;;;0.32;0.65;;17.5;;323.5;;;;;;;1.05;;7.45;0.11;0.152;;10.9;23.0;;3.8;4.4
1986-04-15;80.5;;;0.095;1.6;;6.5;;184.5;;;;;;;0.885;;7.15;0.03;0.06;;10.8;19.0;;5.55;5.55
1986-05-15;75.35;;;0.065;0.7;;5.0;;161.5;;;;;;;0.51;;7.35;0.02;0.04;;11.8;14.5;;2.6;8.15
1986-06-15;47.9;;;0.115;1.2;;5.5;;226.5;;;;;;;0.56;;7.35;0.042;0.076;;9.55;15.5;;3.4;8.55
1986-07-15;72.667;;;0.08;1.4;;7.333;;214.667;;;;;;;0.58;;7.233;0.061;0.075;;10.5;26.0;;1.167;13.967
1986-08-15;296.75;;;0.085;0.6;;6.5;;200.5;;;;;;;0.785;;7.1;0.049;0.206;;10.5;21.0;;4.65;11.8
1986-09-15;79.7;;;0.21;0.8;;9.5;;264.0;;;;;;;0.915;;7.0;0.086;0.152;;10.25;31.5;;2.3;10.65
1986-10-15;76.25;;;0.25;1.1;;9.0;;236.5;;;;;;;0.895;;7.35;0.098;0.158;;9.65;28.0;;4.9;10.3
1986-11-15;77.6;;;0.19;1.1;;9.5;;261.5;;;;;;;1.2;;7.05;0.075;0.091;;11.55;27.0;;1.25;5.45
1986-12-15;57.25;;;0.25;2.35;;17.0;;320.0;;;;;;;0.745;;7.35;0.154;0.197;;12.25;36.0;;2.15;2.85
1987-01-15;118.367;;;0.327;1.0;;12.667;;276.0;;;;;;;1.033;;7.467;0.081;0.183;;13.4;22.333;;3.333;1.8
1987-02-15;70.15;;;0.395;0.95;;15.0;;283.5;;;;;;;0.99;;7.2;0.056;0.096;;12.55;24.5;;2.55;3.55
1987-03-15;74.55;;;0.345;0.85;;12.0;;254.5;;;;;;;1.135;;7.35;0.045;0.07;;13.1;24.0;;2.25;3.2
1987-04-15;35.65;;;0.105;1.05;;4.0;;226.5;;;;;;;0.805;;7.3;0.024;0.055;;12.6;15.5;2.91;1.95;5.4
1987-05-15;42.25;;;0.095;1.45;;3.5;;233.0;;;;;;;0.65;;7.85;0.027;0.069;;12.05;14.0;2.8;2.55;6.35
1987-06-15;52.2;;;0.08;0.7;;2.5;;166.0;;;;;;;0.55;;7.65;0.024;0.078;;12.15;9.0;;5.15;7.5
1987-07-15;167.467;;;0.057;1.05;;4.333;;179.333;;;;;;;0.72;;7.4;0.023;0.106;;11.0;18.0;;5.9;10.933
1987-08-15;57.3;;;0.075;1.0;;6.5;;210.0;;;;;;;0.635;;7.25;0.026;0.06;;11.1;19.0;;1.75;11.25
1987-09-15;81.8;;;0.07;1.1;;9.0;;227.0;;;;;;;0.81;;7.15;0.04;0.074;;12.65;20.5;;1.8;12.6
1987-10-15;77.0;;;0.145;0.8;;10.0;;265.5;;;;;;;0.995;;7.2;0.04;0.072;;10.95;28.5;;1.685;9.6
1987-11-15;73.15;;;0.12;0.5;;9.5;;274.0;;;;;;;0.8;;7.65;0.045;0.078;;11.05;26.0;;1.55;7.2
1987-12-15;61.333;;;0.29;< BG;;11.667;;321.0;;;;;;;0.873;;7.6;0.07;0.089;;12.467;25.667;;0.667;3.9
1988-01-15;82.0;;;0.44;1.0;;13.0;;275.0;;;;;;;0.6;;7.4;0.065;0.15;;12.0;20.5;;3.0;3.85
1988-02-15;8.0;;;0.26;3.15;;21.0;;409.0;;;;;;;0.9;;7.95;0.115;0.14;;13.25;28.5;;2.75;3.15
1988-03-15;77.5;;;0.48;0.75;;16.0;;256.5;;;;;;;1.05;;7.35;0.05;0.1;;14.55;19.0;;2.8;3.15
1988-04-15;44.3;;;0.075;1.2;;6.5;;228.5;;;;;;;0.85;;7.85;0.025;0.04;;13.5;14.0;;4.4;6.5
1988-05-15;44.0;;;0.115;1.0;;6.5;;226.0;;;;;;;0.65;;8.45;0.02;0.035;;12.75;10.5;;2.15;7.25
1988-06-15;28.567;;;0.093;0.9;;4.333;;230.0;;;;;;;0.567;;8.5;0.03;0.043;;11.367;12.333;;1.533;9.667
1988-07-15;506.35;;;0.07;0.85;;5.5;;201.0;;;;;;;0.65;;7.7;0.05;0.2;;10.25;11.0;;2.85;12.75
1988-08-15;64.15;;;0.09;1.3;;7.5;;311.5;;;;;;;0.75;;8.25;0.04;0.07;;10.3;21.5;;2.65;13.55
1988-09-15;50.0;;;0.11;0.6;;7.0;;251.0;;;;;;;0.8;;8.05;0.035;0.08;;10.8;20.5;;1.5;10.55
1988-10-15;27.7;;;0.18;1.1;;11.0;;291.5;;;;;;;0.8;;8.2;0.07;0.155;;10.8;23.5;;2.05;10.75
1988-11-15;19.667;;;0.14;3.2;;10.0;;281.0;;;;;;;0.767;;8.267;0.057;0.2;;12.0;22.333;;2.9;4.467
1988-12-15;2.35;;;0.16;2.7;;9.0;;303.0;;;;;;;0.8;;8.35;0.03;0.06;;12.45;17.0;;;4.5
1989-01-15;39.5;;;0.42;1.35;;10.5;;367.5;;;;;;;0.85;;8.15;0.032;0.08;;13.45;22.0;;1.65;2.75
1989-02-15;61.5;;;0.37;0.8;;9.0;;287.5;;;;;;;1.05;;8.0;0.048;0.137;;13.15;19.0;;3.15;3.6
1989-03-15;2.5;;;0.28;< BG;;8.0;;326.0;;;;;;;0.35;;8.0;0.028;0.046;;12.35;18.5;;3.0;5.15
1989-04-15;26.0;;;0.07;1.6;;8.0;;308.0;;;;;;;0.65;;8.0;0.014;0.034;;11.35;16.0;;3.7;6.55
1989-05-15;33.5;;;0.1;1.0;;7.5;;309.5;;;;;;;0.65;;8.15;0.011;0.028;;11.65;21.0;;1.35;8.25
1989-06-15;27.667;;;0.14;2.467;;5.333;;266.333;;;;;;;0.7;;8.0;0.022;0.051;;10.733;19.0;;1.9;10.367
1989-07-15;149.5;;;0.095;2.3;;3.0;;275.5;;;;;;;0.55;;8.1;0.032;0.141;;10.4;12.0;;4.8;13.8
1989-08-15;99.0;;;0.075;1.8;;5.0;;281.5;;;;;;;0.65;;7.9;0.017;0.085;;10.3;14.5;;2.0;12.55
1989-09-15;85.5;;;0.075;1.0;;6.5;;300.0;;;;;;;0.7;;8.15;0.014;0.041;;10.8;17.0;;2.1;10.5
1989-10-15;41.0;;;0.09;0.8;;7.5;;337.0;;;;;;;0.8;;8.2;0.022;0.045;;11.6;21.0;;1.1;7.4
1989-11-15;77.667;;;0.227;1.267;;10.333;;368.333;;;;;;;0.767;;8.3;0.012;0.032;;12.533;18.0;;1.533;5.233
1989-12-15;85.0;;;0.49;1.5;;11.5;;390.0;;;;;;;0.8;;8.1;0.024;0.055;;12.4;22.5;;3.2;2.75
1990-01-15;38.5;;;0.49;1.75;;13.0;;416.0;;;;;;;0.95;;7.95;0.028;0.052;;12.55;34.5;;3.2;1.75
1990-02-15;12.0;;;0.255;1.8;;11.0;;368.5;;;;;;;0.85;;8.2;0.037;0.057;;12.55;26.5;3.4;1.7;4.55
1990-03-15;67.0;;;0.315;0.5;;8.0;;339.0;;;;;;;0.8;;8.2;0.016;0.04;;14.25;15.5;3.7;1.35;6.5
1990-04-15;41.5;;;0.265;1.55;;8.0;;327.0;;;;;;;0.7;;8.1;0.012;0.038;;13.45;15.0;3.4;2.7;7.0
1990-05-15;67.667;;;0.143;1.65;;5.0;;268.0;;;;;;;0.667;;8.3;0.013;0.034;;11.9;16.333;3.57;2.333;10.033
1990-06-15;140.0;;;0.085;1.7;;5.0;;315.0;;;;;;;0.7;;8.05;0.026;0.11;;12.65;24.5;3.0;4.4;10.7
1990-07-15;94.0;;;0.06;< BG;;6.5;;320.0;;;;;;;0.8;;8.2;0.009;0.041;;11.7;20.0;3.4;1.6;12.75
1990-08-15;35.5;;;0.145;1.0;;6.0;;339.5;;;;;;;0.75;;8.1;0.024;0.04;;10.65;30.0;3.39;1.5;13.5
1990-09-15;34.5;;;0.145;2.55;;7.0;;283.5;;;;;;;0.8;;8.2;0.021;0.034;;10.75;13.5;3.0;0.7;11.2
1990-10-15;98.667;;;0.117;1.6;;6.0;;309.333;;;;;;;0.7;;7.9;0.029;0.079;;10.8;20.333;3.333;3.633;10.367
1990-11-15;81.0;;;0.16;1.8;;7.0;;321.5;;;;;;;0.65;;8.15;0.022;0.046;;13.2;16.0;3.4;4.5;5.75
1990-12-15;78.0;;;0.52;< BG;;10.0;;394.5;;;;;;;0.9;;8.05;0.041;0.068;;16.4;26.0;3.95;1.6;2.85
1991-01-15;109.0;;;0.085;< BG;;8.5;;365.5;1.7;;;;;;0.85;;8.1;0.015;0.04;;13.7;25.0;3.75;;3.75
1991-02-15;33.5;;;0.63;1.45;;17.5;;419.5;0.8;;;;;;1.0;;7.95;0.044;0.054;;12.45;27.5;3.95;;2.85
1991-03-15;2.5;;;0.24;2.35;;9.5;;330.5;1.3;;;;;;0.85;;8.0;0.02;0.028;;13.4;19.5;3.4;;6.2
1991-04-15;4.5;;;0.24;1.65;;8.5;;321.5;1.25;;;;;;0.75;;8.05;0.02;0.034;;11.8;22.5;3.65;;7.6
1991-05-15;67.667;;;0.133;0.5;;5.0;;277.0;1.867;;;;;;0.733;;7.9;0.01;0.047;;11.967;22.0;2.933;;8.3
1991-06-15;36.5;;;0.15;0.8;;4.5;;266.5;1.85;;;;;;0.6;;8.05;0.016;0.036;;12.3;13.0;2.9;;11.95
1991-07-15;18.0;;;0.14;0.95;;5.0;;299.0;1.65;;;;;;0.75;;7.9;0.021;0.07;;11.55;16.0;2.85;;14.45
1991-08-15;81.0;;;0.205;< BG;;8.0;;344.5;1.5;;;;;;0.9;;7.85;0.011;0.038;;9.5;19.0;3.6;;14.6
1991-09-15;63.5;;;0.24;< BG;;10.5;;384.0;1.45;;;;;;1.55;;7.85;0.01;0.038;;10.75;34.0;3.5;;14.75
1991-10-15;56.0;;;0.207;1.2;;9.0;;343.667;1.433;;;;;;1.033;;7.967;0.019;0.036;;11.2;26.333;3.333;;9.233
1991-11-15;34.0;;;0.215;1.25;;9.0;;368.0;2.1;;;;;;0.85;;7.7;0.012;0.026;;12.0;26.5;3.85;;5.05
1991-12-15;4.0;;;0.755;2.65;;16.0;;410.0;1.5;;;;;;1.05;;7.85;0.02;0.03;;13.55;32.5;3.9;;0.3
1992-01-15;3.0;;;0.545;1.9;;17.0;;403.0;2.0;;;;;;1.05;;7.75;0.034;0.05;;14.45;29.5;3.8;;1.95
1992-02-15;3.0;;;0.435;2.8;;16.0;;369.0;2.7;;;;;;0.95;;7.75;0.034;0.055;;12.0;27.5;3.45;;2.2
1992-03-15;11.0;;;0.22;2.7;;11.0;;344.5;2.9;;;;;;1.15;;7.9;0.018;0.036;;11.65;22.5;3.8;;4.7
1992-04-15;92.0;;;0.12;2.167;;6.667;;282.667;2.5;;;;;;0.867;;8.0;0.013;0.102;;12.133;12.0;3.067;;5.133
1992-05-15;55.0;;;0.14;0.6;;4.0;;226.5;6.1;;;;;;0.6;;7.65;0.008;0.026;;12.7;11.0;2.3;;8.1
1992-06-15;117.5;;;0.065;1.65;;3.5;;238.5;3.25;;;;;;0.55;;7.95;0.019;0.194;;10.45;9.0;2.55;;10.4
1992-07-15;3.0;;;0.07;1.1;;7.5;;300.5;1.1;;;;;;0.8;;8.15;0.014;0.032;;9.85;20.0;3.05;;13.55
